Körper
Datum,Gewicht,BMI,Fett
"01-09-2022","65","22.49","0"


Aktivitäten
Datum,Verbrannte Kalorien,Schritte,Strecke,Stockwerke,Minuten im Sitzen,Minuten mit leichter Aktivität,Minuten mit relativ hoher Aktivität,Minuten mit sehr hoher Aktivität,Aktivitätskalorien
"01-09-2022","2'057","10'496","7.33","15","654","362","3","14","1'095"
"02-09-2022","2'127","10'204","7.16","12","527","382","16","2","1'171"
"03-09-2022","1'918","9'279","6.46","26","808","230","22","27","866"
"04-09-2022","1'997","10'373","7.28","34","582","277","31","13","986"
"05-09-2022","2'199","11'888","8.35","9","572","401","21","13","1'276"
"06-09-2022","2'397","15'082","11.18","11","573","317","33","62","1'444"
"07-09-2022","2'139","10'328","7.23","13","587","397","14","13","1'195"
"08-09-2022","2'249","11'607","8.1","19","547","453","11","0","1'345"
"09-09-2022","2'263","11'721","8.19","13","577","433","23","4","1'363"
"10-09-2022","2'012","10'239","7.24","6","649","299","8","13","993"
"11-09-2022","1'514","2'732","1.89","4","694","132","0","0","336"
"12-09-2022","2'074","10'290","7.18","12","596","409","0","0","1'130"
"13-09-2022","2'201","10'179","7.15","15","592","409","25","4","1'257"
"14-09-2022","2'233","10'325","7.25","9","564","428","18","0","1'314"
"15-09-2022","2'201","11'842","8.27","12","554","474","0","0","1'317"
"16-09-2022","2'147","11'492","8.12","12","615","395","0","11","1'207"
"17-09-2022","2'169","11'671","8.14","14","564","405","3","12","1'239"
"18-09-2022","2'052","11'770","8.27","50","647","250","36","38","1'049"
"19-09-2022","2'069","11'557","8.1","11","603","342","2","9","1'082"
"20-09-2022","2'555","19'232","13.57","16","508","408","33","45","1'673"
"21-09-2022","2'480","20'188","13.89","56","532","386","39","45","1'601"
"22-09-2022","2'107","10'932","7.65","11","570","403","17","4","1'189"
"23-09-2022","1'781","5'998","4.21","5","503","301","0","0","751"
"24-09-2022","1'795","6'663","4.68","12","584","294","0","0","762"
"25-09-2022","1'745","5'590","3.93","6","709","251","0","0","671"
"26-09-2022","2'199","11'517","8.05","15","500","401","19","6","1'263"
"27-09-2022","2'493","16'627","12.01","26","625","347","36","73","1'592"
"28-09-2022","2'307","12'338","8.67","17","529","414","33","2","1'398"
"29-09-2022","2'201","11'903","8.32","16","479","453","0","0","1'288"
"30-09-2022","2'237","12'522","8.76","14","555","427","0","0","1'309"

Schlaf
Startzeit,Endzeit,Minuten geschlafen,Minuten wach,Wie häufig aufgewacht,Zeit im Bett,Minuten REM-Schlaf,Minuten leichter Schlaf,Minuten Tiefschlaf
"29-09-2022 10:20PM","30-09-2022 5:59AM","381","77","19","458","105","239","37"
"29-09-2022 1:14PM","29-09-2022 2:28PM","69","5","1","74","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"28-09-2022 10:44PM","29-09-2022 5:59AM","385","49","17","434","95","222","68"
"27-09-2022 9:57PM","28-09-2022 5:39AM","370","92","11","462","114","227","29"
"26-09-2022 11:26PM","27-09-2022 5:25AM","307","52","9","359","96","185","26"
"26-09-2022 12:56PM","26-09-2022 2:12PM","71","5","1","76","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"25-09-2022 10:40PM","26-09-2022 5:58AM","345","93","13","438","102","192","51"
"24-09-2022 11:13PM","25-09-2022 7:14AM","413","67","15","480","114","244","55"
"24-09-2022 12:51PM","24-09-2022 2:26PM","91","3","1","94","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"23-09-2022 10:13PM","24-09-2022 6:02AM","394","74","17","468","105","246","43"
"23-09-2022 9:53AM","23-09-2022 10:59AM","61","5","1","66","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"22-09-2022 8:28PM","23-09-2022 5:58AM","472","98","21","570","101","323","48"
"21-09-2022 10:32PM","22-09-2022 5:58AM","374","72","20","446","69","290","15"
"20-09-2022 10:40PM","21-09-2022 5:58AM","378","60","11","438","109","245","24"
"19-09-2022 10:33PM","20-09-2022 5:59AM","386","60","19","446","143","210","33"
"18-09-2022 9:55PM","19-09-2022 5:59AM","427","57","13","484","130","239","58"
"17-09-2022 11:26PM","18-09-2022 7:15AM","404","65","18","469","83","249","72"
"16-09-2022 10:43PM","17-09-2022 6:19AM","400","56","21","456","91","245","64"
"15-09-2022 10:59PM","16-09-2022 5:59AM","368","51","14","419","111","214","43"
"14-09-2022 10:52PM","15-09-2022 5:44AM","331","81","18","412","81","227","23"
"13-09-2022 10:48PM","14-09-2022 5:58AM","390","40","13","430","89","241","60"
"12-09-2022 11:00PM","13-09-2022 5:50AM","361","49","17","410","62","249","50"
"11-09-2022 10:16PM","12-09-2022 5:31AM","399","36","17","435","129","236","34"
"10-09-2022 10:35PM","11-09-2022 8:49AM","540","74","17","614","141","344","55"
"09-09-2022 10:36PM","10-09-2022 6:27AM","424","47","20","471","96","256","72"
"08-09-2022 11:10PM","09-09-2022 5:53AM","322","81","10","403","96","197","29"
"07-09-2022 10:48PM","08-09-2022 5:58AM","374","55","11","429","96","247","31"
"06-09-2022 10:50PM","07-09-2022 5:59AM","343","86","13","429","97","236","10"
"05-09-2022 10:23PM","06-09-2022 5:58AM","384","71","17","455","142","229","13"
"04-09-2022 10:40PM","05-09-2022 5:53AM","395","38","11","433","124","201","70"
"04-09-2022 1:19PM","04-09-2022 2:55PM","73","22","5","95","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"03-09-2022 10:56PM","04-09-2022 6:19AM","393","49","12","442","112","201","80"
"03-09-2022 12:57PM","03-09-2022 2:31PM","86","8","2","94","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"02-09-2022 11:23PM","03-09-2022 3:42AM","231","28","10","259","50","122","59"
"02-09-2022 1:03PM","02-09-2022 2:13PM","63","6","2","69","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"01-09-2022 10:33PM","02-09-2022 5:58AM","387","57","14","444","113","237","37"
"31-08-2022 11:10PM","01-09-2022 5:58AM","349","58","22","407","84","243","22"
