Körper
Datum,Gewicht,BMI,Fett
"01-10-2022","65","22.49","0"


Aktivitäten
Datum,Verbrannte Kalorien,Schritte,Strecke,Stockwerke,Minuten im Sitzen,Minuten mit leichter Aktivität,Minuten mit relativ hoher Aktivität,Minuten mit sehr hoher Aktivität,Aktivitätskalorien
"01-10-2022","1'998","8'896","6.25","10","527","348","0","0","1'011"
"02-10-2022","2'242","14'982","10.53","41","606","290","53","25","1'256"
"03-10-2022","2'393","18'532","13.02","40","561","344","62","22","1'463"
"04-10-2022","2'190","15'032","10.52","25","505","348","25","6","1'223"
"05-10-2022","2'231","18'014","12.63","31","475","359","36","1","1'283"
"06-10-2022","2'134","13'651","9.59","31","604","269","65","11","1'139"
"07-10-2022","2'326","17'265","12.11","40","527","356","41","16","1'386"
"08-10-2022","1'956","10'870","7.64","15","696","239","37","15","918"
"09-10-2022","810","1'445","1.01","3","262","79","0","0","194"

Schlaf
Startzeit,Endzeit,Minuten geschlafen,Minuten wach,Wie häufig aufgewacht,Zeit im Bett,Minuten REM-Schlaf,Minuten leichter Schlaf,Minuten Tiefschlaf
"08-10-2022 11:16PM","09-10-2022 6:26AM","372","58","17","430","126","193","53"
"07-10-2022 10:56PM","08-10-2022 6:29AM","376","77","13","453","96","233","47"
"06-10-2022 11:00PM","07-10-2022 6:16AM","379","57","16","436","113","235","31"
"05-10-2022 11:01PM","06-10-2022 7:13AM","397","94","12","491","129","206","62"
"04-10-2022 10:46PM","05-10-2022 8:15AM","504","65","19","569","151","295","58"
"03-10-2022 10:06PM","04-10-2022 7:22AM","495","61","17","556","123","307","65"
"02-10-2022 10:24PM","03-10-2022 5:55AM","390","61","15","451","117","226","47"
"01-10-2022 10:09PM","02-10-2022 5:55AM","385","81","12","466","146","177","62"
"01-10-2022 12:58PM","01-10-2022 2:59PM","115","6","1","121","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"30-09-2022 10:34PM","01-10-2022 5:58AM","351","93","11","444","109","209","33"

