ActivityDay,Verbrannte Kalorien,StepTotal,Strecke,Stockwerke,Minuten im Sitzen,Minuten mit leichter Aktivität,Minuten mit relativ hoher Aktivität,Minuten mit sehr hoher Aktivität,Aktivitätskalorien
"22-08-2022","1372","1344","0.94","4","1377","63","0","0","156"
"23-08-2022","2478","14892","10.62","45","604","375","29","44","1548"
"24-08-2022","2244","10504","7.34","13","533","371","16","13","1254"
"25-08-2022","1946","7141","5.02","12","605","357","0","0","926"
"26-08-2022","2238","10514","7.39","14","590","435","28","0","1323"
"27-08-2022","2089","8481","5.89","11","575","417","0","0","1122"
"28-08-2022","1768","6642","4.67","18","804","178","14","23","660"
"29-08-2022","2024","7315","5.14","11","673","372","0","0","1027"
"30-08-2022","2486","14239","10.28","35","576","343","38","59","1555"
"31-08-2022","2246","12053","8.48","12","561","423","12","3","1334"
"01-09-2022","2057","10496","7.33","15","654","362","3","14","1095"
"02-09-2022","2127","10204","7.16","12","527","382","16","2","1171"
"03-09-2022","1918","9279","6.46","26","808","230","22","27","866"
"04-09-2022","1997","10373","7.28","34","582","277","31","13","986"
"05-09-2022","2199","11888","8.35","9","572","401","21","13","1276"
"06-09-2022","2397","15082","11.18","11","573","317","33","62","1444"
"07-09-2022","2139","10328","7.23","13","587","397","14","13","1195"
"08-09-2022","2249","11607","8.1","19","547","453","11","0","1345"
"09-09-2022","2263","11721","8.19","13","577","433","23","4","1363"
"10-09-2022","2012","10239","7.24","6","649","299","8","13","993"
"11-09-2022","1514","2732","1.89","4","694","132","0","0","336"
"12-09-2022","2074","10290","7.18","12","596","409","0","0","1130"
"13-09-2022","2201","10179","7.15","15","592","409","25","4","1257"
"14-09-2022","2233","10325","7.25","9","564","428","18","0","1314"
"15-09-2022","2201","11842","8.27","12","554","474","0","0","1317"s
"16-09-2022","2147","11492","8.12","12","615","395","0","11","1207"
"17-09-2022","2169","11671","8.14","14","564","405","3","12","1239"
"18-09-2022","2052","11770","8.27","50","647","250","36","38","1049"
"19-09-2022","2069","11557","8.1","11","603","342","2","9","1082"
"20-09-2022","2555","19232","13.57","16","508","408","33","45","1673"
"21-09-2022","2480","20188","13.89","56","532","386","39","45","1601"
"22-09-2022","2107","10932","7.65","11","570","403","17","4","1189"
"23-09-2022","1781","5998","4.21","5","503","301","0","0","751"
"24-09-2022","1795","6663","4.68","12","584","294","0","0","762"
"25-09-2022","1745","5590","3.93","6","709","251","0","0","671"
"26-09-2022","2199","11517","8.05","15","500","401","19","6","1263"
"27-09-2022","2493","16627","12.01","26","625","347","36","73","1592"
"28-09-2022","2307","12338","8.67","17","529","414","33","2","1398"
"29-09-2022","2201","11903","8.32","16","479","453","0","0","1288"
"30-09-2022","2237","12522","8.76","14","555","427","0","0","1309"
"01-10-2022","1998","8896","6.25","10","527","348","0","0","1011"
"02-10-2022","2242","14982","10.53","41","606","290","53","25","1256"
"03-10-2022","2393","18532","13.02","40","561","344","62","22","1463"
"04-10-2022","2190","15032","10.52","25","505","348","25","6","1223"
"05-10-2022","2231","18014","12.63","31","475","359","36","1","1283"
"06-10-2022","2134","13651","9.59","31","604","269","65","11","1139"
"07-10-2022","2326","17265","12.11","40","527","356","41","16","1386"
"08-10-2022","1956","10870","7.64","15","696","239","37","15","918"
"09-10-2022","810","1445","1.01","3","262","79","0","0","194"
