,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,fKey,ActivityDay,StepTotal,dayOfWeek
0,0,0,0,0,0,0,0,6,2016-04-18,13019,Mo
1,1,1,1,1,1,1,1,13,2016-04-25,15355,Mo
2,2,2,2,2,2,2,2,20,2016-05-02,14727,Mo
3,3,3,3,3,3,3,3,27,2016-05-09,12022,Mo
4,4,4,4,4,4,4,4,37,2016-04-18,10536,Mo
5,5,5,5,5,5,5,5,44,2016-04-25,6497,Mo
6,6,6,6,6,6,6,6,51,2016-05-02,7155,Mo
7,7,7,7,7,7,7,7,58,2016-05-09,1732,Mo
8,8,8,8,8,8,8,8,68,2016-04-18,7132,Mo
9,9,9,9,9,9,9,9,75,2016-04-25,3580,Mo
10,10,10,10,10,10,10,10,82,2016-05-02,3758,Mo
11,11,11,11,11,11,11,11,89,2016-05-09,6643,Mo
12,12,12,12,12,12,12,12,98,2016-04-18,4597,Mo
13,13,13,13,13,13,13,13,105,2016-04-25,0,Mo
14,14,14,14,14,14,14,14,112,2016-05-02,0,Mo
15,15,15,15,15,15,15,15,119,2016-05-09,0,Mo
16,16,16,16,16,16,16,16,129,2016-04-18,244,Mo
17,17,17,17,17,17,17,17,136,2016-04-25,152,Mo
18,18,18,18,18,18,18,18,143,2016-05-02,3790,Mo
19,19,19,19,19,19,19,19,150,2016-05-09,0,Mo
20,20,20,20,20,20,20,20,160,2016-04-18,14131,Mo
21,21,21,21,21,21,21,21,167,2016-04-25,11369,Mo
22,22,22,22,22,22,22,22,174,2016-05-02,10379,Mo
23,23,23,23,23,23,23,23,181,2016-05-09,13379,Mo
24,24,24,24,24,24,24,24,191,2016-04-18,3325,Mo
25,25,25,25,25,25,25,25,198,2016-04-25,6017,Mo
26,26,26,26,26,26,26,26,205,2016-05-02,7018,Mo
27,27,27,27,27,27,27,27,212,2016-05-09,10685,Mo
28,28,28,28,28,28,28,28,222,2016-04-18,6559,Mo
29,29,29,29,29,29,29,29,229,2016-04-25,3588,Mo
30,30,30,30,30,30,30,30,236,2016-05-02,3634,Mo
31,31,31,31,31,31,31,31,243,2016-05-09,3090,Mo
32,32,32,32,32,32,32,32,253,2016-04-18,8247,Mo
33,33,33,33,33,33,33,33,260,2016-04-25,9482,Mo
34,34,34,34,34,34,34,34,271,2016-04-18,7762,Mo
35,35,35,35,35,35,35,35,278,2016-04-25,7373,Mo
36,36,36,36,36,36,36,36,285,2016-05-02,7525,Mo
37,37,37,37,37,37,37,37,292,2016-05-09,7726,Mo
38,38,38,38,38,38,38,38,302,2016-04-18,6798,Mo
39,39,39,39,39,39,39,39,309,2016-04-25,5995,Mo
40,40,40,40,40,40,40,40,322,2016-04-18,11663,Mo
41,41,41,41,41,41,41,41,329,2016-04-25,11177,Mo
42,42,42,42,42,42,42,42,336,2016-05-02,16520,Mo
43,43,43,43,43,43,43,43,343,2016-05-09,14687,Mo
44,44,44,44,44,44,44,44,352,2016-04-18,62,Mo
45,45,45,45,45,45,45,45,359,2016-04-25,0,Mo
46,46,46,46,46,46,46,46,366,2016-05-02,475,Mo
47,47,47,47,47,47,47,47,373,2016-05-09,4556,Mo
48,48,48,48,48,48,48,48,387,2016-04-18,2276,Mo
49,49,49,49,49,49,49,49,394,2016-04-25,9259,Mo
50,50,50,50,50,50,50,50,401,2016-05-02,9261,Mo
51,51,51,51,51,51,51,51,408,2016-05-09,10378,Mo
52,52,52,52,52,52,52,52,418,2016-04-18,11009,Mo
53,53,53,53,53,53,53,53,425,2016-04-25,12961,Mo
54,54,54,54,54,54,54,54,432,2016-05-02,10096,Mo
55,55,55,55,55,55,55,55,439,2016-05-09,10218,Mo
56,56,56,56,56,56,56,56,449,2016-04-18,6155,Mo
57,57,57,57,57,57,57,57,456,2016-04-25,3385,Mo
58,58,58,58,58,58,58,58,463,2016-05-02,6910,Mo
59,59,59,59,59,59,59,59,470,2016-05-09,5275,Mo
60,60,60,60,60,60,60,60,480,2016-04-18,8940,Mo
61,61,61,61,61,61,61,61,487,2016-04-25,8095,Mo
62,62,62,62,62,62,62,62,494,2016-05-02,7891,Mo
63,63,63,63,63,63,63,63,501,2016-05-09,11451,Mo
64,64,64,64,64,64,64,64,511,2016-04-18,9105,Mo
65,65,65,65,65,65,65,65,518,2016-04-25,9167,Mo
66,66,66,66,66,66,66,66,525,2016-05-02,7245,Mo
67,67,67,67,67,67,67,67,532,2016-05-09,8232,Mo
68,68,68,68,68,68,68,68,542,2016-04-18,3727,Mo
69,69,69,69,69,69,69,69,549,2016-04-25,10946,Mo
70,70,70,70,70,70,70,70,556,2016-05-02,9769,Mo
71,71,71,71,71,71,71,71,563,2016-05-09,11611,Mo
72,72,72,72,72,72,72,72,573,2016-04-18,9893,Mo
73,73,73,73,73,73,73,73,580,2016-04-25,6393,Mo
74,74,74,74,74,74,74,74,587,2016-05-02,7439,Mo
75,75,75,75,75,75,75,75,594,2016-05-09,3421,Mo
76,76,76,76,76,76,76,76,603,2016-04-18,5153,Mo
