,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,fKey,ActivityDay,StepTotal,dayOfWeek
0,0,0,0,0,0,0,0,2016-04-12,13162,Tu
1,1,1,1,1,1,1,7,2016-04-19,15506,Tu
2,2,2,2,2,2,2,14,2016-04-26,13755,Tu
3,3,3,3,3,3,3,21,2016-05-03,15103,Tu
4,4,4,4,4,4,4,28,2016-05-10,12207,Tu
5,5,5,5,5,5,5,31,2016-04-12,8163,Tu
6,6,6,6,6,6,6,38,2016-04-19,2916,Tu
7,7,7,7,7,7,7,45,2016-04-26,2826,Tu
8,8,8,8,8,8,8,52,2016-05-03,2100,Tu
9,9,9,9,9,9,9,59,2016-05-10,2969,Tu
10,10,10,10,10,10,10,62,2016-04-12,10694,Tu
11,11,11,11,11,11,11,69,2016-04-19,11256,Tu
12,12,12,12,12,12,12,76,2016-04-26,9919,Tu
13,13,13,13,13,13,13,83,2016-05-03,12850,Tu
14,14,14,14,14,14,14,90,2016-05-10,9167,Tu
15,15,15,15,15,15,15,92,2016-04-12,6697,Tu
16,16,16,16,16,16,16,99,2016-04-19,197,Tu
17,17,17,17,17,17,17,106,2016-04-26,0,Tu
18,18,18,18,18,18,18,113,2016-05-03,4059,Tu
19,19,19,19,19,19,19,120,2016-05-10,0,Tu
20,20,20,20,20,20,20,123,2016-04-12,678,Tu
21,21,21,21,21,21,21,130,2016-04-19,0,Tu
22,22,22,22,22,22,22,137,2016-04-26,3761,Tu
23,23,23,23,23,23,23,144,2016-05-03,1326,Tu
24,24,24,24,24,24,24,151,2016-05-10,0,Tu
25,25,25,25,25,25,25,154,2016-04-12,11875,Tu
26,26,26,26,26,26,26,161,2016-04-19,11548,Tu
27,27,27,27,27,27,27,168,2016-04-26,10119,Tu
28,28,28,28,28,28,28,175,2016-05-03,12183,Tu
29,29,29,29,29,29,29,182,2016-05-10,12798,Tu
30,30,30,30,30,30,30,185,2016-04-12,4414,Tu
31,31,31,31,31,31,31,192,2016-04-19,2424,Tu
32,32,32,32,32,32,32,199,2016-04-26,5933,Tu
33,33,33,33,33,33,33,206,2016-05-03,5992,Tu
34,34,34,34,34,34,34,213,2016-05-10,254,Tu
35,35,35,35,35,35,35,216,2016-04-12,10725,Tu
36,36,36,36,36,36,36,223,2016-04-19,5997,Tu
37,37,37,37,37,37,37,230,2016-04-26,3409,Tu
38,38,38,38,38,38,38,237,2016-05-03,7443,Tu
39,39,39,39,39,39,39,244,2016-05-10,6227,Tu
40,40,40,40,40,40,40,247,2016-04-12,10113,Tu
41,41,41,41,41,41,41,254,2016-04-19,6711,Tu
42,42,42,42,42,42,42,261,2016-04-26,5980,Tu
43,43,43,43,43,43,43,265,2016-04-12,8796,Tu
44,44,44,44,44,44,44,272,2016-04-19,7948,Tu
45,45,45,45,45,45,45,279,2016-04-26,8242,Tu
46,46,46,46,46,46,46,286,2016-05-03,7412,Tu
47,47,47,47,47,47,47,293,2016-05-10,8275,Tu
48,48,48,48,48,48,48,296,2016-04-12,4747,Tu
49,49,49,49,49,49,49,303,2016-04-19,7711,Tu
50,50,50,50,50,50,50,310,2016-04-26,8283,Tu
