fKey,ActivityDay,StepTotal,dayOfWeek
4,2016-04-16,12669,5
11,2016-04-23,14371,5
18,2016-04-30,14673,5
25,2016-05-07,11992,5
35,2016-04-16,5370,5
42,2016-04-23,8538,5
49,2016-04-30,6474,5
56,2016-05-07,2104,5
66,2016-04-16,15300,5
73,2016-04-23,6637,5
80,2016-04-30,18213,5
87,2016-05-07,13372,5
96,2016-04-16,3414,5
103,2016-04-23,3570,5
110,2016-04-30,4014,5
117,2016-05-07,0,5
127,2016-04-16,0,5
134,2016-04-23,2945,5
141,2016-04-30,0,5
148,2016-05-07,1510,5
158,2016-04-16,10100,5
165,2016-04-23,6001,5
172,2016-04-30,18387,5
179,2016-05-07,6708,5
189,2016-04-16,2547,5
196,2016-04-23,12357,5
203,2016-04-30,4729,5
210,2016-05-07,4193,5
220,2016-04-16,5057,5
227,2016-04-23,5079,5
234,2016-04-30,4571,5
241,2016-05-07,7379,5
251,2016-04-16,22244,5
258,2016-04-23,16901,5
269,2016-04-16,9685,5
276,2016-04-23,9317,5
283,2016-04-30,8452,5
290,2016-05-07,4940,5
300,2016-04-16,6905,5
307,2016-04-23,7396,5
314,2016-04-30,5250,5
320,2016-04-16,13459,5
327,2016-04-23,12058,5
334,2016-04-30,13238,5
341,2016-05-07,11550,5
350,2016-04-16,1982,5
357,2016-04-23,0,5
364,2016-04-30,0,5
371,2016-05-07,6132,5
385,2016-04-16,4744,5
392,2016-04-23,4935,5
399,2016-04-30,8221,5
406,2016-05-07,7937,5
416,2016-04-16,6580,5
423,2016-04-23,13236,5
430,2016-04-30,12533,5
437,2016-05-07,22770,5
447,2016-04-16,3945,5
454,2016-04-23,4363,5
461,2016-04-30,6222,5
468,2016-05-07,5183,5
478,2016-04-16,7289,5
485,2016-04-23,6890,5
492,2016-04-30,10319,5
499,2016-05-07,8237,5
509,2016-04-16,11140,5
516,2016-04-23,15126,5
523,2016-04-30,10144,5
530,2016-05-07,14370,5
540,2016-04-16,5771,5
547,2016-04-23,4112,5
554,2016-04-30,1202,5
561,2016-05-07,1868,5
571,2016-04-16,14269,5
578,2016-04-23,7638,5
585,2016-04-30,12363,5
592,2016-05-07,0,5
601,2016-04-16,14450,5
608,2016-04-23,11495,5
615,2016-04-30,6987,5
622,2016-05-07,7336,5
629,2016-04-16,8301,5
636,2016-04-23,0,5
643,2016-04-30,6744,5
650,2016-05-07,5510,5
658,2016-04-16,4732,5
665,2016-04-23,0,5
672,2016-04-30,2503,5
679,2016-05-07,1967,5
684,2016-04-16,13217,5
691,2016-04-23,20031,5
698,2016-04-30,10081,5
705,2016-05-07,6815,5
715,2016-04-16,4631,5
722,2016-04-23,8093,5
729,2016-04-30,3761,5
736,2016-05-07,0,5
741,2016-04-16,31,5
748,2016-04-23,2817,5
755,2016-04-30,14560,5
762,2016-05-07,12827,5
772,2016-04-16,14549,5
779,2016-04-23,22359,5
786,2016-04-30,7135,5
793,2016-05-07,19769,5
803,2016-04-16,9256,5
810,2016-04-23,9282,5
817,2016-04-30,0,5
822,2016-04-16,11207,5
829,2016-04-23,5709,5
836,2016-04-30,2946,5
843,2016-05-07,4468,5
853,2016-04-16,5319,5
860,2016-04-23,9423,5
867,2016-04-30,10085,5
874,2016-05-07,6117,5
884,2016-04-16,244,5
891,2016-04-23,5245,5
898,2016-04-30,7174,5
905,2016-05-07,0,5
913,2016-04-16,29326,5
920,2016-04-23,11200,5
927,2016-04-30,27745,5
934,2016-05-07,12332,5
